он приведёт конкурента депутата	он приведёт конкурента депутату
он представляет брата президента	он представляет брата президенту
он представляет ответ депутата	он представляет ответ депутату
он представляет обращение главы	он представляет обращение главе
он создаёт мир ребёнка	он создаёт мир ребёнку
он создаёт поддержку участника	он создаёт поддержку участнику
он создаст ответ партнёра	он создаст ответ партнёру
он создаст смену специалиста	он создаст смену специалисту
он оставит вопрос эксперта	он оставит вопрос эксперту
он сохранит память человека	он сохранит память человеку
он оставит письмо сестры	он оставит письмо сестре
он оставит семью жены	он оставит семью жене
он оставит совет родителя	он оставит совет родителю
он оставит заявление президента	он оставит заявление президенту
он спасёт жизнь человека	он спасёт жизнь человеку
он спасёт дом ребёнка	он спасёт дом ребёнку
он спасёт лицо мужчины	он спасёт лицо мужчине
он спасёт глаза женщины	он спасёт глаза женщине
он спасёт золото царя	он спасёт золото царю
он спасёт рубль жителя	он спасёт рубль жителю
он сделает послание лидера	он сделает послание лидеру
он сделает указание директора	он сделает указание директору
он окажет поддержку родственника	он окажет поддержку родственнику
он сделает знак участника	он сделает знак участнику
он предложит компанию дочки	он предложит компанию дочке
он предложит зарплату медика	он предложит зарплату медику
он предложит оклад работника	он предложит оклад работнику
он предложит льготу ветерана	он предложит льготу ветерану
он докажет право человека	он докажет право человеку
он докажет пользу жителя	он докажет пользу жителю
он докажет возможность чиновника	он докажет возможность чиновнику
он докажет силу человека	он докажет силу человеку
он пишет просьбу президента	он пишет просьбу президенту
он пишет вопрос губернатора	он пишет вопрос губернатору
он пишет ответ главы	он пишет ответ главе
он пишет послание короля	он пишет послание королю
он найдёт путь человека	он найдёт путь человеку
он найдёт друга ребёнка	он найдёт друга ребёнку
он найдёт поддержку женщины	он найдёт поддержку женщине
он найдёт помощь иностранца	он найдёт помощь иностранцу
он укажет место девушки	он укажет место девушке
он представит брата короля	он представит брата королю
он представит ответ господина	он представит ответ господину
он объясняет путь человека	он объясняет путь человеку
он объясняет назначение женщины	он объясняет назначение женщине
он объясняет убийство полицейского	он объясняет убийство полицейскому
он объясняет повышение сотрудника	он объясняет повышение сотруднику
он придумает мир ребёнка	он придумает мир ребёнку
он откроет путь человека	он откроет путь человеку
он откроет письмо отца	он откроет письмо отцу
он откроет подарок друга	он откроет подарок другу
он откроет сообщение пользователя	он откроет сообщение пользователю
он ищет поддержку человека	он ищет поддержку человеку
он ищет радость человека	он ищет радость человеку
он ищет помощь человека	он ищет помощь человеку
он ждёт помощь россиянина	он ждёт помощь россиянину
он ждёт лекарство ребёнка	он ждёт лекарство ребёнку
он везёт мать ребёнка	он везёт мать ребёнку
он принесёт ответ депутата	он принесёт ответ депутату
он принесёт послание короля	он принесёт послание королю
он принесёт обращение главы	он принесёт обращение главе
он принесёт письмо мамы	он принесёт письмо маме
он получит обеспечение гражданина	он получит обеспечение гражданину
он получит питание ребёнка	он получит питание ребёнку
он предлагает поддержку учителя	он предлагает поддержку учителю
он предлагает помощь добровольца	он предлагает помощь добровольцу
он предлагает карту туриста	он предлагает карту туристу
он предлагает замену лидера	он предлагает замену лидеру
он проиндексирует пенсию пенсионера	он проиндексирует пенсию пенсионеру
он опишет убийство полицейского	он опишет убийство полицейскому
он берёт подарок бабушки	он берёт подарок бабушке
он назовёт компанию оператора	он назовёт компанию оператору
он назовёт комментарий корреспондента	он назовёт комментарий корреспонденту
он назовёт зарплату водителя	он назовёт зарплату водителю
он облегчит движение ребёнка	он облегчит движение ребёнку
он облегчит душу человека	он облегчит душу человеку
он облегчит въезд россиянина	он облегчит въезд россиянину
он отправит распоряжение главы	он отправит распоряжение главе
он отправит помощь императора	он отправит помощь императору
он отправит жалобу прокурора	он отправит жалобу прокурору
он отправит предложение коллеги	он отправит предложение коллеге
он демонстрирует знак участника	он демонстрирует знак участнику
он демонстрирует программу ребёнка	он демонстрирует программу ребёнку
он демонстрирует силу человека	он демонстрирует силу человеку
он демонстрирует власть президента	он демонстрирует власть президенту
он заменит отца ребёнка	он заменит отца ребёнку
он заменит питание ребёнка	он заменит питание ребёнку
он расскажет слово мамы	он расскажет слово маме
он расскажет сон женщины	он расскажет сон женщине
он выдаёт землю крестьянина	он выдаёт землю крестьянину
он выдаёт подарок родителя	он выдаёт подарок родителю
он выдаёт карту туриста	он выдаёт карту туристу
он выдаёт гарантию сотрудника	он выдаёт гарантию сотруднику
он сохранит лицо человека	он сохранит лицо человеку
он сохранит доступ сотрудника	он сохранит доступ сотруднику
он сохранит здоровье ребёнка	он сохранит здоровье ребёнку
он сохранит зарплату сотрудника	он сохранит зарплату сотруднику
он даёт совет читателя	он даёт совет читателю
он даёт указание руководителя	он даёт указание руководителю
он даёт рекомендацию врача	он даёт рекомендацию врачу
он даёт гарантию военнослужащего	он даёт гарантию военнослужащему
он переведёт вопрос человека	он переведёт вопрос человеку
он переведёт зарплату жены	он переведёт зарплату жене
он объяснит вопрос врача	он объяснит вопрос врачу
он объяснит ответ господина	он объяснит ответ господину
он объяснит заявление журналиста	он объяснит заявление журналисту
он объяснит обвинение главы	он объяснит обвинение главе
он указывает возможность водителя	он указывает возможность водителю
он возвратит право гражданина	он возвратит право гражданину
он возвратит заявление прокурора	он возвратит заявление прокурору
он возвратит славу князя	он возвратит славу князю
он возвратит славу жены	он возвратит славу жене
он окажет поддержку партнёра	он окажет поддержку партнёру
он окажет поддержку союзника	он окажет поддержку союзнику
он окажет поддержку производителя	он окажет поддержку производителю
он окажет противостояние немца	он окажет противостояние немцу
он пошлёт записку министра	он пошлёт записку министру
он пошлёт подарок императора	он пошлёт подарок императору
он пошлёт священника отца	он пошлёт священника отцу
он пошлёт грамоту князя	он пошлёт грамоту князю
он подтвердит ответ автора	он подтвердит ответ автору
он подтвердит протест президента	он подтвердит протест президенту
он подтвердит кредит сотрудника	он подтвердит кредит сотруднику
он подтвердит поручение адвоката	он подтвердит поручение адвокату
он поставляет помощь союзника	он поставляет помощь союзнику
он проведёт лечение пациента	он проведёт лечение пациенту
он проведёт операцию пациента	он проведёт операцию пациенту
он проведёт амнистию участника	он проведёт амнистию участнику
он передаст просьбу гражданина	он передаст просьбу гражданину
он обещает поддержку работника	он обещает поддержку работнику
он обещает помощь инвестора	он обещает помощь инвестору
он обещает помощь врача	он обещает помощь врачу
он обещает повышение учителя	он обещает повышение учителю
он раскроет жизнь человека	он раскроет жизнь человеку
он раскроет душу человека	он раскроет душу человеку
он раскроет дар человека	он раскроет дар человеку
он раскроет измену друга	он раскроет измену другу
он изложит просьбу президента	он изложит просьбу президенту
он изложит жалобу президента	он изложит жалобу президенту
он изложит объяснение следователя	он изложит объяснение следователю
он изложит поручение посла	он изложит поручение послу
он оставляет дорогу человека	он оставляет дорогу человеку
он оставляет совет пользователя	он оставляет совет пользователю
он оставляет рекомендацию разработчика	он оставляет рекомендацию разработчику
он оставляет памятку участника	он оставляет памятку участнику
он отдаст тысячу сына	он отдаст тысячу сыну
он отдаст записку доктора	он отдаст записку доктору
он отдаст указание директора	он отдаст указание директору
он отдаст подарок отца	он отдаст подарок отцу
он возвращает заявление прокурора	он возвращает заявление прокурору
он возвращает подарок брата	он возвращает подарок брату
он возвращает деньги мамы	он возвращает деньги маме
он возвращает долг кредитора	он возвращает долг кредитору
он приносит подарок короля	он приносит подарок королю
он приносит славу героя	он приносит славу герою
он приносит помощь родственника	он приносит помощь родственнику
он приносит дар бога	он приносит дар богу
он привезёт родителя ребёнка	он привезёт родителя ребёнку
он повезёт послание руководителя	он повезёт послание руководителю
он повезёт помощь разведчика	он повезёт помощь разведчику
он повезёт помощь принца	он повезёт помощь принцу
он продаст машину брата	он продаст машину брату
он рекомендует компанию производителя	он рекомендует компанию производителю
он покупает компанию дочки	он покупает компанию дочке
он организует доступ ребёнка	он организует доступ ребёнку
он организует подвоз жителя	он организует подвоз жителю
он вручает письмо ветерана	он вручает письмо ветерану
он заплатит штраф водителя	он заплатит штраф водителю
он вернёт отца ребёнка	он вернёт отца ребёнку
он вернёт доверие президента	он вернёт доверие президенту
он вернёт покупку ребёнка	он вернёт покупку ребёнку
он вернёт пенсию ветерана	он вернёт пенсию ветерану
он подарит бюст героя	он подарит бюст герою
он подарит дачу чиновника	он подарит дачу чиновнику
он подарит медаль участника	он подарит медаль участнику
он подарит письмо маршала	он подарит письмо маршалу
он перечислит выплату гражданина	он перечислит выплату гражданину
он перечислит помощь работника	он перечислит помощь работнику
он перечислит помощь сотрудника	он перечислит помощь сотруднику
он перечислит помощь гражданина	он перечислит помощь гражданину
он возьмёт книгу бабушки	он возьмёт книгу бабушке
он ограничит возможность жителя	он ограничит возможность жителю
он ограничит зарплату работника	он ограничит зарплату работнику
он подаст сигнал президента	он подаст сигнал президенту
он подаст обвинение участника	он подаст обвинение участнику
он подаст донесение графа	он подаст донесение графу
он подготовит заявление президента	он подготовит заявление президенту
он подготовит объяснение ребёнка	он подготовит объяснение ребёнку
он подготовит помощь председателя	он подготовит помощь председателю
он подготовит уведомление руководителя	он подготовит уведомление руководителю
он посвящает жизнь человека	он посвящает жизнь человеку
он поставит мемориал воина	он поставит мемориал воину
он запретит поставку производителя	он запретит поставку производителю
он запретит наказание водителя	он запретит наказание водителю
он запретит проезд пенсионера	он запретит проезд пенсионеру
он обеспечит поддержку лидера	он обеспечит поддержку лидеру
он обеспечит смерть коммуниста	он обеспечит смерть коммунисту
он обеспечит отпуск рабочего	он обеспечит отпуск рабочему
он обеспечит отказ бизнесмена	он обеспечит отказ бизнесмену
он оценит работу коллеги	он оценит работу коллеге
он утвердит решение команды	он утвердит решение команде
он ищет информацию специалиста	он ищет информацию специалисту
он выражает согласие начальника	он выражает согласие начальнику
он выразит вопрос папы	он выразит вопрос папе
он выразит содействие полицейского	он выразит содействие полицейскому
он заключает соглашение партнера	он заключает соглашение партнеру
он сообщит информацию босса	он сообщит информацию боссу
он сообщает ответ противника	он сообщает ответ противнику
он сообщает задание ученика	он сообщает задание ученику
он сообщает предложение заказчика	он сообщает предложение заказчику
он решит проблему коллектива	он решит проблему коллективу
он организует встречу друзей	он организует встречу друзьям
он даёт послание премьера	он даёт послание премьеру
он даёт послание графа	он даёт послание графу
он переведёт послание сына	он переведёт послание сыну
он переведёт заём клиента	он переведёт заём клиенту
он объявит просьбу бога	он объявит просьбу богу
он объявит ответ противника	он объявит ответ противнику
он объявит систему лидера	он объявит систему лидеру
он объявит письмо сторонника	он объявит письмо стороннику
он бросает записку товарища	он бросает записку товарищу
он бросает записку друга	он бросает записку другу
он бросает карточку игрока	он бросает карточку игроку
он находит врача ребёнка	он находит врача ребёнку
он находит игрушку ребёнка	он находит игрушку ребёнку
он вводит продажу участника	он вводит продажу участнику
он вводит гарантию участника	он вводит гарантию участнику
он спасает возможность хозяина	он спасает возможность хозяину
он слышит подсказку человека	он слышит подсказку человеку
он передаёт угрозу политика	он передаёт угрозу политику
он передаёт место новичка	он передаёт место новичку
он передаёт совет бизнесмена	он передаёт совет бизнесмену
он передаёт совет мэра	он передаёт совет мэру
он запишет жалобу министра	он запишет жалобу министру
он запишет звонок министра	он запишет звонок министру
он обнаружит награду учёного	он обнаружит награду учёному
он доведёт товарища командира	он доведёт товарища командиру
он показывает друга архитектора	он показывает друга архитектору
он показывает разрешение инспектора	он показывает разрешение инспектору
он показывает послание деда	он показывает послание деду
он показывает золото царя	он показывает золото царю
он получает доставку владельца	он получает доставку владельцу
он потеряет награду человека	он потеряет награду человеку
он подчинит князя отца	он подчинит князя отцу
он относит платёж владельца	он относит платёж владельцу
он соберёт деньги жителей	он соберёт деньги жителям
он доведёт товарища командира	он доведёт товарища командиру
он отдаст ответ юриста	он отдаст ответ юристу
он отдаст послание королевы	он отдаст послание королеве
он отдаст прибыль торговца	он отдаст прибыль торговцу
он возвращает уважение женщины	он возвращает уважение женщине
он возвращает плату игрока	он возвращает плату игроку
он возвращает дар царя	он возвращает дар царю
он возвращает штраф автомобилиста	он возвращает штраф автомобилисту
он приносит премию журналиста	он приносит премию журналисту
он приносит протест президента	он приносит протест президенту
он приносит грамоту сына	он приносит грамоту сыну
он приносит приз спортсмена	он приносит приз спортсмену
он приносит телеграмму государя	он приносит телеграмму государю
он включит сказку ребёнка	он включит сказку ребёнку
он разобьёт душу депутата	он разобьёт душу депутату
он разобьёт платёж оператора	он разобьёт платёж оператору
он хранит послание женщины	он хранит послание женщине
он хранит деньги человека	он хранит деньги человеку
он затрудняет ответ противника	он затрудняет ответ противнику
он подчеркнёт отказ журналиста	он подчеркнёт отказ журналисту
он привезёт записку царя	он привезёт записку царю
он рекомендует перевод родственника	он рекомендует перевод родственнику
он рекомендует передачу украинца	он рекомендует передачу украинцу
он рекомендует замену капитана	он рекомендует замену капитану
он рекомендует повышение офицера	он рекомендует повышение офицеру
он покупает разрешение сотрудника	он покупает разрешение сотруднику
он заплатит ущерб вкладчика	он заплатит ущерб вкладчику
он заплатит задолженность энергетика	он заплатит задолженность энергетику
он раздаёт жалование работника	он раздаёт жалование работника
он вызовет судью человека	он вызовет судью человеку
он отменит подготовку президента	он отменит подготовку президенту
он отменит въезд депутата	он отменит въезд депутату
он отменит вознаграждение чиновника	он отменит вознаграждение чиновнику
он отменит кредит сотрудника	он отменит кредит сотруднику
он доставляет золото царя	он доставляет золото царю
он доставляет телеграмму отца	он доставляет телеграмму отцу
он доставляет поздравление учителя	он доставляет поздравление учителю
он отложит послание премьера	он отложит послание премьеру
он отложит подарок премьера	он отложит подарок премьеру
он вручит ответ юриста	он вручит ответ юристу
он вручит разрешение иностранца	он вручит разрешение иностранцу
он вручит ребёнка дочки	он вручит ребёнка дочке
он вручит помощь епископа	он вручит помощь епископу
он устроит смерть француза	он устроит смерть французу
он устроит противостояние оппонента	он устроит противостояние оппоненту
он устроит смену короля	он устроит смену королю
он устроит возможность ветерана	он устроит возможность ветерану
он отдаёт тысячу тренера	он отдаёт тысячу тренеру
он отдаёт записку губернатора	он отдаёт записку губернатору
он отдаёт славу князя	он отдаёт славу князю
он отдаёт прибыль торговца	он отдаёт прибыль торговцу
он выложит штраф родителя	он выложит штраф родителю
он заработает похвалу человека	он заработает похвалу человеку
он заработает льготу участника	он заработает льготу участнику
он ограничит заём клиента	он ограничит заём клиенту
он вышлет ответ жены	он вышлет ответ жене
он вышлет предложение заказчика	он вышлет предложение заказчику
он продаёт карточку игрока	он продаёт карточку игроку
он переводит помощь незнакомца	он переводит помощь незнакомцу
он переводит заказ поставщика	он переводит заказ поставщику
он меняет лекарство пациента	он меняет лекарство пациенту
он меняет завещание сына	он меняет завещание сыну
он исключит повышение человека	он исключит повышение человеку
он организовывает урок ребёнка	он организовывает урок ребёнку
он запретит свободу раба	он запретит свободу рабу
он запретит письмо градоначальника	он запретит письмо градоначальнику
он запретит поддержку паралимпийца	он запретит поддержку паралимпийцу
он запретит возможность акционера	он запретит возможность акционеру
он поднимет проезд студента	он поднимет проезд студенту
он подпишет наказ губернатора	он подпишет наказ губернатору
он выскажет ответ папы	он выскажет ответ папе
он выскажет радость гостя	он выскажет радость гостю
он выскажет радость сына	он выскажет радость сыну
он позволит въезд певицы	он позволит въезд певице
он выплатит ставку заёмщика	он выплатит ставку заёмщику
он выплатит гарантию губернатора	он выплатит гарантию губернатору
он выплатит иск экс-главы	он выплатит иск экс-главе
он выставит информацию потребителя	он выставит информацию потребителю
он выставит обвинение организатора	он выставит обвинение организатору
он выставит обвинение участника	он выставит обвинение участнику
он сломает душу игрока	он сломает душу игроку
он сдаст дачу директора	он сдаст дачу директору
он выведет рекомендацию пользователя	он выведет рекомендацию пользователю
он доносит послание руководителя	он доносит послание руководителю
он доносит сигнал руководителя	он доносит сигнал руководителю
он сохраняет опасность ребёнка	он сохраняет опасность ребёнку
он облегчает отказ предпринимателя	он облегчает отказ предпринимателю
он облегчает доставку террориста	он облегчает доставку террористу
он облегчает операцию жителя	он облегчает операцию жителю
он облегчает усыновление гражданина	он облегчает усыновление гражданину
он гарантирует смену чемпиона	он гарантирует смену чемпиону
он гарантирует отказ пенсионера	он гарантирует отказ пенсионеру
он гарантирует въезд болельщика	он гарантирует въезд болельщику
он гарантирует сдачу союзника	он гарантирует сдачу союзнику
он присвоит зарплату музыканта	он присвоит зарплату музыканту
он диктует послание генерала	он диктует послание генералу
он диктует информацию потребителя	он диктует информацию потребителю
он диктует распоряжение помощника	он диктует распоряжение помощнику
он утвердит премию руководителя	он утвердит премию руководителю
он утвердит сокращение депутата	он утвердит сокращение депутату
он кричит поздравление мамы	он кричит поздравление маме
он сменит врача ребёнка	он сменит врача ребёнку
он предъявляет письмо производителя	он предъявляет письмо производителю
он предъявляет письмо работодателя	он предъявляет письмо работодателю
он предъявляет доверенность представителя	он предъявляет доверенность представителю
он навязает сопротивление союзника	он навязает сопротивление союзнику
он произносит поздравление друзей	он произносит поздравление друзьям
он порекомендует меру чиновника	он порекомендует меру чиновнику
он порекомендует врача ребёнка	он порекомендует врача ребёнку
он осложнит подготовку президента	он осложнит подготовку президенту
он продемонстрирует разрешение инспектора	он продемонстрирует разрешение инспектору
он продемонстрирует заявление работодателя	он продемонстрирует заявление работодателю
он протянет послание королевы	он протянет послание королеве
он протянет рапорт председателя	он протянет рапорт председателю
он протянет подвеску королевы	он протянет подвеску королеве
он бросит угрозу противника	он бросит угрозу противнику
он кладёт деньги родственников	он кладёт деньги родственников
он отравит еду человека	он отравит еду человеку
он выдаст ноту посла	он выдаст ноту послу
он выдаст приговор медика	он выдаст приговор медику
он выдаст скидку партнёра	он выдаст скидку партнёру
он выдаст согласие организатора	он выдаст согласие организатору
он разносит лекарство детей	он разносит лекарство детям
он оторвёт карман ребёнка	он оторвёт карман ребёнку
он положит награду бойца	он положит награду бойцу
он положит инструкцию командира	он положит инструкцию командиру
он обеспечивает въезд лидера	он обеспечивает въезд лидеру
он обеспечивает скидку партнёра	он обеспечивает скидку партнёру
он обеспечивает плату военнослужащего	он обеспечивает плату военнослужащему
он обеспечивает отсрочку выпускника	он обеспечивает отсрочку выпускнику
он отошлёт ответ жены	он отошлёт ответ жене
он отошлёт запрос производителя	он отошлёт запрос производителю
он высказывает похвалу отца	он высказывает похвалу отцу
он высказывает предупреждение коллеги	он высказывает предупреждение коллеге
он высказывает предостережение главы	он высказывает предостережение главе
он направит премию журналиста	он направит премию журналисту
он направит обвинение экс-президента	он направит обвинение экс-президенту
он поясняет предложение ребёнка	он поясняет предложение ребёнку
он внесёт поручение вице-губернатора	он внесёт поручение вице-губернатору
он ожидает приглашение гражданина	он ожидает приглашение гражданину
он ожидает замену россиянина	он ожидает замену россиянину
он проповедует искусство ребёнка	он проповедует искусство ребёнку
он просит гарантию человека	он просит гарантию человеку
он запрещает возвращение христианина	он запрещает возвращение христианину
он запрещает помощь политика	он запрещает помощь политику
он запрещает помощь священнослужителя	он запрещает помощь священнослужителю
он адресует ответ юриста	он адресует ответ юристу
он адресует совет писателя	он адресует совет писателю
он адресует совет хозяина	он адресует совет хозяину
он изменит оплату чиновника	он изменит оплату чиновнику
он изменит запрос заместителя	он изменит запрос заместителю
он изменит процент партнёра	он изменит процент партнёру
он транслирует пожелание коллеги	он транслирует пожелание коллеге
он портит проект гражданина	он портит проект гражданину
он портит радость туриста	он портит радость туристу
он вынесет письмо основателя	он вынесет письмо основателю
он вынесет знак лётчика	он вынесет знак лётчику
он испортит результат президента	он испортит результат президенту
он испортит подарок хозяина	он испортит подарок хозяину
он подберёт записку жены	он подберёт записку жене
он забудет предостережение человека	он забудет предостережение человеку
он заберёт деньги людей	он заберёт деньги людям
он протягивает подарок товарища	он протягивает подарок товарищу
он шепчет ответ жены	он шепчет ответ жене
он предоставляет письмо атамана	он предоставляет письмо атаману
он предоставляет подарок конкурента	он предоставляет подарок конкуренту
он предоставляет отказ заявителя	он предоставляет отказ заявителю
он предоставляет амнистию преступника	он предоставляет амнистию преступнику
он снизит премию топ-менеджера	он снизит премию топ-менеджеру
он снизит жалование работника	он снизит жалование работнику
он снизит проезд водителя	он снизит проезд водителю
он снизит неудобство жителя	он снизит неудобство жителю
он оформляет приказ сотрудника	он оформляет приказ сотруднику
он оформляет премию покупателя	он оформляет премию покупателю
он оформляет поручение сотрудника	он оформляет поручение сотруднику
он пришлёт тысячу сестры	он пришлёт тысячу сестре
он пришлёт сказку ребёнка	он пришлёт сказку ребёнку
он пришлёт заказ художника	он пришлёт заказ художнику
он пришлёт награду режиссёра	он пришлёт награду режиссёру
он озвучит приказ сотрудника	он озвучит приказ сотруднику
он озвучит объяснение следователя	он озвучит объяснение следователю
он озвучит жалобу министра	он озвучит жалобу министру
он озвучит предостережение министра	он озвучит предостережение министру
он пересылает перевод родственника	он пересылает перевод родственнику
он выпишет помощь директора	он выпишет помощь директору
он выпишет помощь футболиста	он выпишет помощь футболисту
он назначит смену генерала	он назначит смену генералу
он назначит замену капитана	он назначит замену капитану
он прочит награду актёра	он прочит награду актёру
он прочит повышение человека	он прочит повышение человеку
он пожалует подарок принца	он пожалует подарок принцу
он пожалует подарок художника	он пожалует подарок художнику
он пожалует награду офицера	он пожалует награду офицеру
он отнесёт ответ папы	он отнесёт ответ папе
он отнесёт послание жены	он отнесёт послание жене
он отнесёт указание судьи	он отнесёт указание судье
он отнесёт стихотворение друга	он отнесёт стихотворение другу
он достаёт деньги людей	он достаёт деньги людям
он предъявит вопрос тренера	он предъявит вопрос тренеру
он предъявит записку царя	он предъявит записку царю
он предъявит информацию потребителя	он предъявит информацию потребителю
он предъявит отказ спикера	он предъявит отказ спикеру
он выбьет повышение человека	он выбьет повышение человеку
он изменяет наказание мужчины	он изменяет наказание мужчине
он перескажет сказку ребёнка	он перескажет сказку ребёнку
он перескажет сообщение подруги	он перескажет сообщение подруге
он посылает просьбу бога	он посылает просьбу богу
он предсказывает ответ героя	он предсказывает ответ герою
он сократит премию руководителя	он сократит премию руководителю
он поправит сообщение ребёнка	он поправит сообщение ребёнку
он осложняет проезд водителя	он осложняет проезд водителю
он компенсирует кредит застройщика	он компенсирует кредит застройщику
он компенсирует льготу военнослужащего	он компенсирует льготу военнослужащему
он компенсирует задолженность энергетика	он компенсирует задолженность энергетику
он дарует грамоту епископа	он дарует грамоту епископу
он навязывает совет разработчика	он навязывает совет разработчику
он направляет указание генпрокурора	он направляет указание генпрокурору
он направляет заказ поставщика	он направляет заказ поставщику
он направляет звонок пользователя	он направляет звонок пользователю
он направляет рапорт председателя	он направляет рапорт председателю
он доставит дело присяжного	он доставит дело присяжному
он доставит посла лорда	он доставит посла лорду
он доставит награду учёного	он доставит награду учёному
он доставит уведомление руководителя	он доставит уведомление руководителю
он оплачивает вознаграждение учителя	он оплачивает вознаграждение учителю
он снижает долг учителя	он снижает долг учителю
он снижает выручку водителя	он снижает выручку водителю
он предусмотрит награду участника	он предусмотрит награду участнику
он предусмотрит замену ребёнка	он предусмотрит замену ребёнку
он пропагандирует силу школьника	он пропагандирует силу школьнику
он воздвигнет обелиск героя	он воздвигнет обелиск герою
он учитывает враждебность человека	он учитывает враждебность человеку
он дарит знак бойца	он дарит знак бойцу
он дарит жильё работника	он дарит жильё работнику
он реализует льготу гражданина	он реализует льготу гражданину
он заменяет лекарство ребёнка	он заменяет лекарство ребёнку
он поручает вопрос юриста	он поручает вопрос юристу
он поручает заказ художника	он поручает заказ художнику
он пояснит ответ парламентария	он пояснит ответ парламентарию
он пояснит назначение мужчины	он пояснит назначение мужчине
он удалит надпись человека	он удалит надпись человеку
он присылает соболезнование друга	он присылает соболезнование другу
он выплачивает тысячу тренера	он выплачивает тысячу тренеру
он отводит женщину президента	он отводит женщину президенту
он разъяснит срок руководителя	он разъяснит срок руководителю
он донесёт письмо правителя	он донесёт письмо правителю
он аннулирует проект гражданина	он аннулирует проект гражданину
он задержит жалование работника	он задержит жалование работнику
он пообещает смерть француза	он пообещает смерть французу
он пообещает интервью читателя	он пообещает интервью читателю
он пообещает смену короля	он пообещает смену королю
он пообещает пенсию вдовы	он пообещает пенсию вдове
он разъясняет возможность туриста	он разъясняет возможность туристу
он присваивает награду офицера	он присваивает награду офицеру
он одобряет заём клиента	он одобряет заём клиенту
он режет зарплату солдат	он режет зарплату солдатам
он реализовывает операцию жителя	он реализовывает операцию жителю
он урезает вознаграждение учителя	он урезает вознаграждение учителю
он перекроет помощь голкипера	он перекроет помощь голкиперу
он перекроет помощь конкурента	он перекроет помощь конкуренту
он греет еду человека	он греет еду человеку
он высылает перевод родственника	он высылает перевод родственнику
он усложнит въезд участника	он усложнит въезд участнику
он зачитает ноту посла	он зачитает ноту послу
он зачитает рапорт директора	он зачитает рапорт директору
он отвезёт записку родителя	он отвезёт записку родителю
он отвезёт лекарство ребёнка	он отвезёт лекарство ребёнку
он прокомментирует сокращение депутата	он прокомментирует сокращение депутату
он разошлёт поздравление граждан	он разошлёт поздравление гражданам
он заблокирует звонок пользователя	он заблокирует звонок пользователю
он презентует искусство ребёнка	он презентует искусство ребёнку
он презентует награду человека	он презентует награду человеку
он телеграфирует ответ жены	он телеграфирует ответ жене
он перешлёт жалобу начальника	он перешлёт жалобу начальнику
он возместит оплату ребёнка	он возместит оплату ребёнку
он перенаправит звонок министра	он перенаправит звонок министру
он переадресует обвинение председателя	он переадресует обвинение председателю
он переадресует жалобу начальника	он переадресует жалобу начальнику
он перепоручит задачу заместителя	он перепоручит задачу заместителю
он гарантирует поддержку человека	он гарантирует поддержку человеку
